acteurs,annee,description,duree,genre,pays,public,score,titre
"Mako,Kevin Michael Richardson,Phil LaMarr",2001–2017,"A samurai, sent through time, fights to return home and save the world.",25m,Animation,United States,TV-MA,8.5,Samurai Jack
,2010–2017,"Hosted by Morgan Freeman, Through the Wormhole will explore the deepest mysteries of existence - the questions that have puzzled mankind for eternity. What are we made of? What was there before the beginning? Are we really alone? Is there a creator? These questions have been pondered by the most exquisite minds of the human race. Now, science has evolved to the point ...",1h,Documentary,United States,TV-PG,8.6,Through the Wormhole
"Drew Carey,Ryan Stiles,Colin Mochrie",1998–2007,Improvisational comedy competition show in which four members of the regular cast as comedians and often with guest appearances with other comedians and celebrities and members of the audience perform various comic games and sketches.,30m,Comedy,United States,TV-PG,8.5,Whose Line Is It Anyway?
"Martin Freeman,Ricky Gervais,Mackenzie Crook",2001–2003,The story of an office that faces closure when the company decides to downsize its branches. A documentary film crew follow staff and the manager David Brent as they continue their daily lives.,30m,Comedy,United Kingdom,TV-MA,8.5,The Office
"Journey Baker,Nathan Fielder,Anna Lamadrid",2022– ,Nathan Fielder gives people a chance to rehearse for their own lives in a world where nothing ever works out as expected.,30m,Documentary,United States,TV-MA,8.6,The Rehearsal
"Jared Keeso,Nathan Dales,Michelle Mylett",2016– ,"Quick-witted, fast-paced snappy comedy about rural folk getting by in a small town.",30m,Comedy,Canada,TV-MA,8.7,Letterkenny
"Hadley Delany,Louis C.K.,Ursula Parker",2010–2015,"The life of Louie C.K., a divorced comedian living in New York with two kids.",22m,Comedy,United States,TV-MA,8.5,Louie
,2004–2005,"Fuu, a waitress who works in a teahouse, rescues two master swordsmen, Mugen and Jin, from their execution to help her find the ""samurai who smells of sunflowers.""",24m,Animation,Japan,TV-MA,8.6,Samurai Champloo
,1997–2002,"A failed television presenter, now presenting a programme on local desperately tries to revive his broadcasting career.",29m,Comedy,United Kingdom,TV-MA,8.6,I'm Alan Partridge
"Christian Slater,Rami Malek,Carly Chaikin",2015–2019,"Elliot, a brilliant but highly unstable young cyber-security engineer and vigilante hacker, becomes a key figure in a complex game of global dominance when he and his shadowy allies try to take down the corrupt corporation he works for.",49m,Crime,United States,TV-MA,8.5,Mr. Robot
,2006–2013,"The comedic misadventures of Roy, Moss and their grifting supervisor Jen, a rag-tag team of IT support workers at a large corporation headed by a hotheaded yuppie.",25m,Comedy,United Kingdom,TV-14,8.5,The IT Crowd
